ROI,HC_LT,HC_RT,EP_LT,EP_RT
lateralorbitofrontal_2,,,,-1.137681605
rostralanteriorcingulate_1,,-0.607941503,,
caudalanteriorcingulate_1,,,,-0.712056863
parahippocampal_1,,-0.914566671,,-0.793619088
insula_1,,-0.034067661,,
Right-Amygdala,,-2.337490384,,-2.282541929
Right-Hippocampus,,-0.932324899,,-0.68324726
lateralorbitofrontal_1,,-0.642579547,,
parstriangularis_1,-2.121875255,,-2.35552782,
parsopercularis_1,-1.281481684,,,
parahippocampal_1,-1.589718811,-0.879650976,-1.911164696,-0.885350876
Left-Amygdala,-2.112903171,,-2.147495565,
Left-Hippocampus,,-0.201700211,,-0.119451811
